"COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","SERIES_NAME"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","-15363081019","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","-13805564830","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","-16675720460","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","-17453458949","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","-79172108","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","-111928302","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","-63825764","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","56742280","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","-71351026.158957","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","52546903.9144498","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","2480725.62010927","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-25253548.8498535","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","-19990779.3806848","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","-8023049.25495115","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","-4064521.81582687","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-9910816.52949759","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","-12546426.0914137","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","-23267455.5769471","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","-345205.35979134","Millions","Trade balance goods, US dollar"
"Russian Federation","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","-4463501.72396347","Millions","Trade balance goods, US dollar"
"Vietnam","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","953473502","Millions","Trade balance goods, US dollar"
"Vietnam","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","1124886528","Millions","Trade balance goods, US dollar"
"Vietnam","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","1174722230","Millions","Trade balance goods, US dollar"
"Vietnam","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","1279258282","Millions","Trade balance goods, US dollar"
"Vietnam","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","1267653112","Millions","Trade balance goods, US dollar"
"Vietnam","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","1661310689","Millions","Trade balance goods, US dollar"
"Vietnam","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","1442471524","Millions","Trade balance goods, US dollar"
